,id,start,end,gene_name,product,strand,locus_tag,interval
229,cds-WP_003083728.1,134974,135861,,cytochrome c oxidase subunit 3,+,NCGM2_RS00565,"[134974, 135861]"
231,cds-WP_003083732.1,135877,136086,,twin transmembrane helix small protein,-,NCGM2_RS00570,"[135877, 136086]"
233,cds-WP_023098417.1,136102,136896,,hypothetical protein,+,NCGM2_RS00575,"[136102, 136896]"
235,cds-WP_003083738.1,136871,137449,,hypothetical protein,+,NCGM2_RS00580,"[136871, 137449]"
237,cds-WP_003083742.1,137514,138587,,heme A synthase,+,NCGM2_RS00585,"[137514, 138587]"
239,cds-WP_003083746.1,138613,139527,,protoheme IX farnesyltransferase,+,NCGM2_RS00590,"[138613, 139527]"
241,cds-WP_003083748.1,139553,140188,,SCO family protein,+,NCGM2_RS00595,"[139553, 140188]"
243,cds-WP_003083750.1,140228,140680,,GNAT family N-acetyltransferase,-,NCGM2_RS00600,"[140228, 140680]"
245,cds-WP_003083753.1,140812,141285,,helix-turn-helix transcriptional regulator,+,NCGM2_RS00605,"[140812, 141285]"
247,cds-WP_003083755.1,141542,142270,,SDR family oxidoreductase,+,NCGM2_RS00610,"[141542, 142270]"
249,cds-WP_003083757.1,142295,142882,,2-hydroxychromene-2-carboxylate isomerase,+,NCGM2_RS00615,"[142295, 142882]"
251,cds-WP_003137006.1,143112,144461,,C4-dicarboxylate transporter DctA,+,NCGM2_RS00620,"[143112, 144461]"
253,cds-WP_003083762.1,144510,145196,,FadR family transcriptional regulator,+,NCGM2_RS00625,"[144510, 145196]"
255,cds-WP_003083764.1,145297,146031,,GntR family transcriptional regulator,+,NCGM2_RS00630,"[145297, 146031]"
257,cds-WP_003110659.1,146211,146621,,hemolysin,+,NCGM2_RS00635,"[146211, 146621]"
259,cds-WP_003083769.1,146653,147561,,LysR family transcriptional regulator,-,NCGM2_RS00640,"[146653, 147561]"
261,cds-WP_003083773.1,147861,148142,,type II toxin-antitoxin system RelE/ParE family toxin,-,NCGM2_RS00645,"[147861, 148142]"
263,cds-WP_003083775.1,148139,148366,,ribbon-helix-helix protein%2C CopG family,-,NCGM2_RS00650,"[148139, 148366]"
265,cds-WP_003101226.1,148542,149162,,hypothetical protein,-,NCGM2_RS00655,"[148542, 149162]"
267,cds-WP_003083778.1,149263,149763,,hypothetical protein,+,NCGM2_RS00660,"[149263, 149763]"
269,cds-WP_014603467.1,149836,150177,,alkylphosphonate utilization protein,+,NCGM2_RS00665,"[149836, 150177]"
271,cds-WP_003083784.1,150259,151686,gabP,GABA permease,-,NCGM2_RS00670,"[150259, 151686]"
273,cds-WP_003083788.1,151855,153348,,CoA-acylating methylmalonate-semialdehyde dehydrogenase,-,NCGM2_RS00675,"[151855, 153348]"
275,cds-WP_003083790.1,153432,153719,,cupin domain-containing protein,-,NCGM2_RS00680,"[153432, 153719]"
277,cds-WP_003083801.1,153719,155065,,aspartate aminotransferase family protein,-,NCGM2_RS00685,"[153719, 155065]"
279,cds-WP_003083805.1,155200,156117,,LysR family transcriptional regulator,+,NCGM2_RS00690,"[155200, 156117]"
281,cds-WP_003128340.1,156231,157601,guaD,guanine deaminase,-,NCGM2_RS00695,"[156231, 157601]"
283,cds-WP_003128341.1,157991,158131,,hypothetical protein,+,NCGM2_RS00700,"[157991, 158131]"
285,cds-WP_014603469.1,158712,160283,,ABC transporter ATP-binding protein,+,NCGM2_RS00705,"[158712, 160283]"
287,cds-WP_003083816.1,160283,161380,,ABC transporter permease,+,NCGM2_RS00710,"[160283, 161380]"
289,cds-WP_003083821.1,161403,162329,,ABC transporter permease,+,NCGM2_RS00715,"[161403, 162329]"
291,cds-WP_003083828.1,162494,163057,ahpC,peroxiredoxin,+,NCGM2_RS00720,"[162494, 163057]"
293,cds-WP_003083830.1,163202,164767,ahpF,alkyl hydroperoxide reductase subunit F,+,NCGM2_RS00725,"[163202, 164767]"
295,cds-WP_003128346.1,164847,165743,ppk2,polyphosphate kinase 2,-,NCGM2_RS00730,"[164847, 165743]"
297,cds-WP_003083834.1,166198,167547,,8-oxoguanine deaminase,+,NCGM2_RS00735,"[166198, 167547]"
299,cds-WP_003083836.1,167654,168706,,nucleoside hydrolase,+,NCGM2_RS00740,"[167654, 168706]"
301,cds-WP_003083838.1,168743,169591,,ion channel protein Tsx,-,NCGM2_RS00745,"[168743, 169591]"
303,cds-WP_003083840.1,169626,170252,,nucleoside deoxyribosyltransferase,-,NCGM2_RS00750,"[169626, 170252]"
305,cds-WP_003083842.1,170402,170920,,hypothetical protein,-,NCGM2_RS00755,"[170402, 170920]"
307,cds-WP_003083844.1,171159,172256,,BMP family ABC transporter substrate-binding protein,+,NCGM2_RS00760,"[171159, 172256]"
309,cds-WP_003083846.1,172329,173291,,2OG-Fe(II) oxygenase,+,NCGM2_RS00765,"[172329, 173291]"
311,cds-WP_014603471.1,173396,174346,,adenosine deaminase,+,NCGM2_RS00770,"[173396, 174346]"
313,cds-WP_003112642.1,174543,175088,,RNA polymerase sigma factor,+,NCGM2_RS00775,"[174543, 175088]"
315,cds-WP_014603472.1,175085,176080,,FecR family protein,+,NCGM2_RS00780,"[175085, 176080]"
317,cds-WP_003083856.1,176227,178614,,TonB-dependent receptor,+,NCGM2_RS00785,"[176227, 178614]"
319,cds-WP_003083859.1,178887,179804,pcaQ,pca operon transcription factor PcaQ,+,NCGM2_RS00790,"[178887, 179804]"
321,cds-WP_003102187.1,179939,180658,pcaH,protocatechuate 3%2C4-dioxygenase subunit beta,+,NCGM2_RS00795,"[179939, 180658]"
323,cds-WP_014603473.1,180669,181274,pcaG,protocatechuate 3%2C4-dioxygenase subunit alpha,+,NCGM2_RS00800,"[180669, 181274]"
325,cds-WP_003083866.1,181490,182329,,helix-turn-helix domain-containing protein,+,NCGM2_RS00805,"[181490, 182329]"
327,cds-WP_003128363.1,182482,183633,triA,triclosan efflux RND transporter adaptor protein TriA,+,NCGM2_RS00810,"[182482, 183633]"
329,cds-WP_003083872.1,183630,184700,triB,triclosan efflux RND transporter adaptor protein TriB,+,NCGM2_RS00815,"[183630, 184700]"
331,cds-WP_003083874.1,184697,187744,triC,triclosan efflux RND transporter permease subunit TriC,+,NCGM2_RS00820,"[184697, 187744]"
333,cds-WP_003083876.1,187943,188881,,LysR family transcriptional regulator,+,NCGM2_RS00825,"[187943, 188881]"
335,cds-WP_003083879.1,188997,189182,,hypothetical protein,+,NCGM2_RS00830,"[188997, 189182]"
337,cds-WP_003083884.1,189769,191103,,OprD family porin,+,NCGM2_RS00840,"[189769, 191103]"
339,cds-WP_003083886.1,191132,191929,,helix-turn-helix transcriptional regulator,-,NCGM2_RS00845,"[191132, 191929]"
341,cds-WP_014603475.1,192007,193623,,gamma-glutamyltransferase family protein,+,NCGM2_RS00850,"[192007, 193623]"
343,cds-WP_123788637.1,193969,194226,,hypothetical protein,-,NCGM2_RS32740,"[193969, 194226]"
345,cds-WP_003083898.1,194295,195131,,membrane protein,+,NCGM2_RS00860,"[194295, 195131]"
347,cds-WP_003083900.1,195373,196779,,purine permease,+,NCGM2_RS00865,"[195373, 196779]"
349,cds-WP_003083903.1,196872,197537,,TetR family transcriptional regulator,+,NCGM2_RS00870,"[196872, 197537]"
351,cds-WP_003083907.1,197543,198133,,YigZ family protein,+,NCGM2_RS00875,"[197543, 198133]"
353,cds-WP_003118588.1,198140,198847,,GGDEF domain-containing protein,-,NCGM2_RS00880,"[198140, 198847]"
355,cds-WP_003083913.1,198974,199354,,DUF1987 domain-containing protein,-,NCGM2_RS00885,"[198974, 199354]"
357,cds-WP_003083916.1,199381,199923,,hypothetical protein,-,NCGM2_RS00890,"[199381, 199923]"
359,cds-WP_003083920.1,199932,201923,,SpoIIE family protein phosphatase,-,NCGM2_RS00895,"[199932, 201923]"
361,cds-WP_003083922.1,202186,203235,,chemotaxis response regulator protein-glutamate methylesterase,-,NCGM2_RS00900,"[202186, 203235]"
363,cds-WP_003083926.1,203255,203857,cheD,chemoreceptor glutamine deamidase CheD,-,NCGM2_RS00905,"[203255, 203857]"
365,cds-WP_003083930.1,203863,204705,,chemotaxis protein CheR,-,NCGM2_RS00910,"[203863, 204705]"
367,cds-WP_003123817.1,204775,206814,,methyl-accepting chemotaxis protein,-,NCGM2_RS00915,"[204775, 206814]"
369,cds-WP_003083938.1,206850,207335,,chemotaxis protein CheW,-,NCGM2_RS00920,"[206850, 207335]"
371,cds-WP_014603476.1,207322,209250,,chemotaxis protein CheA,-,NCGM2_RS00925,"[207322, 209250]"
373,cds-WP_003083943.1,209278,209643,,response regulator,-,NCGM2_RS00930,"[209278, 209643]"
375,cds-WP_003083946.1,209841,211013,,methyl-accepting chemotaxis protein,-,NCGM2_RS00935,"[209841, 211013]"
377,cds-WP_003083951.1,211204,212136,,LysR family transcriptional regulator,-,NCGM2_RS00940,"[211204, 212136]"
379,cds-WP_003083953.1,212253,213005,,3-oxoacyl-ACP reductase FabG,+,NCGM2_RS00945,"[212253, 213005]"
381,cds-WP_003083954.1,213105,214715,,arylsulfatase,-,NCGM2_RS00950,"[213105, 214715]"
383,cds-WP_003083956.1,214803,215642,,ABC transporter ATP-binding protein,-,NCGM2_RS00955,"[214803, 215642]"
385,cds-WP_003083957.1,215639,217255,,ABC transporter permease,-,NCGM2_RS00960,"[215639, 217255]"
387,cds-WP_003083958.1,217523,218584,,ABC transporter substrate-binding protein,+,NCGM2_RS00965,"[217523, 218584]"
389,cds-WP_003083959.1,219002,219817,,TauD/TfdA family dioxygenase,+,NCGM2_RS00970,"[219002, 219817]"
391,cds-WP_003083960.1,219814,220695,,AEC family transporter,+,NCGM2_RS00975,"[219814, 220695]"
393,cds-WP_014603477.1,220733,222091,,OprD family porin,-,NCGM2_RS00980,"[220733, 222091]"
395,cds-WP_003083962.1,222339,223064,,phosphatase PAP2 family protein,+,NCGM2_RS00985,"[222339, 223064]"
397,cds-WP_003083964.1,223088,224005,,LysR family transcriptional regulator,-,NCGM2_RS00990,"[223088, 224005]"
399,cds-WP_003083968.1,224356,226728,,TonB-dependent receptor,+,NCGM2_RS00995,"[224356, 226728]"
401,cds-WP_014603478.1,226769,227671,,TauD/TfdA family dioxygenase,+,NCGM2_RS01000,"[226769, 227671]"
403,cds-WP_014603479.1,227739,228638,,TauD/TfdA family dioxygenase,+,NCGM2_RS01005,"[227739, 228638]"
405,cds-WP_003083972.1,229285,230403,,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,+,NCGM2_RS01010,"[229285, 230403]"
407,cds-WP_003083974.1,230479,230787,,NAD(P) transhydrogenase subunit alpha,+,NCGM2_RS01015,"[230479, 230787]"
409,cds-WP_003083975.1,230787,232223,,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta,+,NCGM2_RS01020,"[230787, 232223]"
411,cds-WP_014603480.1,232567,233379,,energy transducer TonB,+,NCGM2_RS01025,"[232567, 233379]"
413,cds-WP_003083979.1,233408,234127,,MotA/TolQ/ExbB proton channel family protein,+,NCGM2_RS01030,"[233408, 234127]"
415,cds-WP_003083981.1,234129,234530,,biopolymer transporter ExbD,+,NCGM2_RS01035,"[234129, 234530]"
417,cds-WP_003111981.1,234711,234923,,DUF3079 domain-containing protein,-,NCGM2_RS01040,"[234711, 234923]"
419,cds-WP_003106176.1,235139,235720,,alpha/beta hydrolase,+,NCGM2_RS01045,"[235139, 235720]"
421,cds-WP_003083990.1,235831,237495,mdcA,malonate decarboxylase subunit alpha,+,NCGM2_RS01050,"[235831, 237495]"
423,cds-WP_014603481.1,237495,238376,,triphosphoribosyl-dephospho-CoA synthase,+,NCGM2_RS01055,"[237495, 238376]"
425,cds-WP_003084001.1,238378,238677,,malonate decarboxylase subunit delta,+,NCGM2_RS01060,"[238378, 238677]"
427,cds-WP_003084003.1,238670,239533,,biotin-independent malonate decarboxylase subunit beta,+,NCGM2_RS01065,"[238670, 239533]"
429,cds-WP_014603482.1,239530,240336,mdcE,biotin-independent malonate decarboxylase subunit gamma,+,NCGM2_RS01070,"[239530, 240336]"
431,cds-WP_023098420.1,240352,241044,,malonate decarboxylase holo-ACP synthase,+,NCGM2_RS01075,"[240352, 241044]"
433,cds-WP_014603485.1,241041,241973,mdcH,malonate decarboxylase subunit epsilon,+,NCGM2_RS01080,"[241041, 241973]"
435,cds-WP_003084010.1,242030,242434,madL,malonate transporter subunit MadL,+,NCGM2_RS01085,"[242030, 242434]"
437,cds-WP_003084016.1,242440,243204,madM,malonate transporter subunit MadM,+,NCGM2_RS01090,"[242440, 243204]"
439,cds-WP_003084019.1,243289,244218,,LysR family transcriptional regulator,-,NCGM2_RS01095,"[243289, 244218]"
441,cds-WP_003084035.1,244556,245476,,LysR family transcriptional regulator,-,NCGM2_RS01100,"[244556, 245476]"
443,cds-WP_003084042.1,245827,247317,,aldehyde dehydrogenase,+,NCGM2_RS01105,"[245827, 247317]"
445,cds-WP_003084045.1,247375,248808,,APC family permease,+,NCGM2_RS01110,"[247375, 248808]"
447,cds-WP_003084047.1,248839,250221,,aspartate aminotransferase family protein,+,NCGM2_RS01115,"[248839, 250221]"
449,cds-WP_003084049.1,250385,251443,,ABC transporter substrate-binding protein,+,NCGM2_RS01120,"[250385, 251443]"
451,cds-WP_003084052.1,251521,252402,,dihydrodipicolinate synthase family protein,-,NCGM2_RS01125,"[251521, 252402]"
453,cds-WP_003084054.1,252462,253244,,aldolase,-,NCGM2_RS01130,"[252462, 253244]"
455,cds-WP_003084057.1,253399,253938,,helix-turn-helix domain-containing protein,+,NCGM2_RS01135,"[253399, 253938]"
457,cds-WP_003084060.1,254089,254940,,CoA transferase subunit A,+,NCGM2_RS01140,"[254089, 254940]"
459,cds-WP_003084062.1,254937,255719,,CoA-transferase subunit beta,+,NCGM2_RS01145,"[254937, 255719]"
461,cds-WP_003084064.1,255716,256921,pcaF,3-oxoadipyl-CoA thiolase,+,NCGM2_RS01150,"[255716, 256921]"
463,cds-WP_003084066.1,257071,258369,,MFS transporter,+,NCGM2_RS01155,"[257071, 258369]"
465,cds-WP_003110232.1,258392,259771,,3-carboxy-cis%2Ccis-muconate cycloisomerase,+,NCGM2_RS01160,"[258392, 259771]"
