,id,start,end,gene_name,strand,locus_tag,interval
236,gene-PA0112,133220,134293,PA0112,+,PA0112,"[133220, 134293]"
238,gene-PA0113,134319,135233,PA0113,+,PA0113,"[134319, 135233]"
240,gene-PA0114,135259,135894,senC,+,PA0114,"[135259, 135894]"
242,gene-PA0115,135934,136386,PA0115,-,PA0115,"[135934, 136386]"
244,gene-PA0116,136518,136991,PA0116,+,PA0116,"[136518, 136991]"
246,gene-PA0117,137248,137976,PA0117,+,PA0117,"[137248, 137976]"
248,gene-PA0118,138001,138588,PA0118,+,PA0118,"[138001, 138588]"
250,gene-PA0119,138818,140167,PA0119,+,PA0119,"[138818, 140167]"
252,gene-PA0120,140216,140902,PA0120,+,PA0120,"[140216, 140902]"
254,gene-PA0121,141003,141737,PA0121,+,PA0121,"[141003, 141737]"
257,gene-PA0122,141917,142327,PA0122,+,PA0122,"[141917, 142327]"
259,gene-PA0123,142359,143267,PA0123,-,PA0123,"[142359, 143267]"
261,gene-PA0124,143567,143848,PA0124,-,PA0124,"[143567, 143848]"
263,gene-PA0125,143845,144072,PA0125,-,PA0125,"[143845, 144072]"
265,gene-PA0126,144248,144868,PA0126,-,PA0126,"[144248, 144868]"
267,gene-PA0127,144969,145469,PA0127,+,PA0127,"[144969, 145469]"
269,gene-PA0128,145542,145883,PA0128,+,PA0128,"[145542, 145883]"
271,gene-PA0129,145965,147392,gabP,-,PA0129,"[145965, 147392]"
273,gene-PA0130,147561,149054,PA0130,-,PA0130,"[147561, 149054]"
275,gene-PA0131,149138,149425,PA0131,-,PA0131,"[149138, 149425]"
277,gene-PA0132,149425,150771,PA0132,-,PA0132,"[149425, 150771]"
279,gene-PA0133,150906,151823,PA0133,+,PA0133,"[150906, 151823]"
281,gene-PA0134,151936,153306,PA0134,-,PA0134,"[151936, 153306]"
283,gene-PA0135,153696,153836,PA0135,+,PA0135,"[153696, 153836]"
285,gene-PA0136,154417,155988,PA0136,+,PA0136,"[154417, 155988]"
287,gene-PA0137,155988,157085,PA0137,+,PA0137,"[155988, 157085]"
289,gene-PA0138,157108,158034,PA0138,+,PA0138,"[157108, 158034]"
292,gene-PA0139,158199,158762,ahpC,+,PA0139,"[158199, 158762]"
294,gene-PA0140,158907,160472,ahpF,+,PA0140,"[158907, 160472]"
296,gene-PA0141,160552,161448,PA0141,-,PA0141,"[160552, 161448]"
298,gene-PA0142,161906,163255,PA0142,+,PA0142,"[161906, 163255]"
301,gene-PA0143,163363,164415,nuh,+,PA0143,"[163363, 164415]"
303,gene-PA0144,164443,165069,PA0144,-,PA0144,"[164443, 165069]"
306,gene-PA0145,165219,165737,PA0145,-,PA0145,"[165219, 165737]"
308,gene-PA0146,165976,167073,PA0146,+,PA0146,"[165976, 167073]"
310,gene-PA0147,167146,168108,PA0147,+,PA0147,"[167146, 168108]"
312,gene-PA0148,168213,169163,PA0148,+,PA0148,"[168213, 169163]"
314,gene-PA0149,169361,169906,PA0149,+,PA0149,"[169361, 169906]"
316,gene-PA0150,169903,170898,PA0150,+,PA0150,"[169903, 170898]"
318,gene-PA0151,171047,173434,PA0151,+,PA0151,"[171047, 173434]"
320,gene-PA0152,173811,174638,pcaQ,+,PA0152,"[173811, 174638]"
322,gene-PA0153,174773,175492,pcaH,+,PA0153,"[174773, 175492]"
324,gene-PA0154,175503,176108,pcaG,+,PA0154,"[175503, 176108]"
326,gene-PA0155,176315,177154,pcaR,+,PA0155,"[176315, 177154]"
328,gene-PA0156,177307,178458,PA0156,+,PA0156,"[177307, 178458]"
330,gene-PA0157,178455,179525,PA0157,+,PA0157,"[178455, 179525]"
332,gene-PA0158,179522,182569,PA0158,+,PA0158,"[179522, 182569]"
334,gene-PA0159,182768,183706,PA0159,+,PA0159,"[182768, 183706]"
336,gene-PA0160,183822,184007,PA0160,+,PA0160,"[183822, 184007]"
338,gene-PA0162,184594,185928,opdC,+,PA0162,"[184594, 185928]"
340,gene-PA0163,185957,186754,PA0163,-,PA0163,"[185957, 186754]"
342,gene-PA0164,186832,188448,PA0164,+,PA0164,"[186832, 188448]"
344,gene-PA0165,189120,189956,PA0165,+,PA0165,"[189120, 189956]"
346,gene-PA0166,190198,191604,PA0166,+,PA0166,"[190198, 191604]"
348,gene-PA0167,191697,192362,PA0167,+,PA0167,"[191697, 192362]"
350,gene-PA0168,192368,192958,PA0168,+,PA0168,"[192368, 192958]"
352,gene-PA0169,192965,193672,PA0169,-,PA0169,"[192965, 193672]"
354,gene-PA0170,193799,194179,PA0170,-,PA0170,"[193799, 194179]"
356,gene-PA0171,194206,194748,PA0171,-,PA0171,"[194206, 194748]"
358,gene-PA0172,194757,196748,PA0172,-,PA0172,"[194757, 196748]"
362,gene-PA0173,197011,198060,PA0173,-,PA0173,"[197011, 198060]"
364,gene-PA0174,198080,198682,PA0174,-,PA0174,"[198080, 198682]"
366,gene-PA0175,198688,199530,PA0175,-,PA0175,"[198688, 199530]"
368,gene-PA0176,199600,201639,aer2,-,PA0176,"[199600, 201639]"
370,gene-PA0177,201675,202160,PA0177,-,PA0177,"[201675, 202160]"
372,gene-PA0178,202147,204066,PA0178,-,PA0178,"[202147, 204066]"
374,gene-PA0179,204094,204459,PA0179,-,PA0179,"[204094, 204459]"
376,gene-PA0180,204657,205829,cttP,-,PA0180,"[204657, 205829]"
378,gene-PA0181,206022,206954,PA0181,-,PA0181,"[206022, 206954]"
380,gene-PA0182,207071,207823,PA0182,+,PA0182,"[207071, 207823]"
382,gene-PA0183,207923,209533,atsA,-,PA0183,"[207923, 209533]"
384,gene-PA0184,209621,210460,PA0184,-,PA0184,"[209621, 210460]"
386,gene-PA0185,210457,212073,PA0185,-,PA0185,"[210457, 212073]"
388,gene-PA0186,212340,213401,PA0186,+,PA0186,"[212340, 213401]"
390,gene-PA0187,213819,214634,PA0187,+,PA0187,"[213819, 214634]"
392,gene-PA0188,214631,215512,PA0188,+,PA0188,"[214631, 215512]"
394,gene-PA0189,215550,216908,PA0189,-,PA0189,"[215550, 216908]"
396,gene-PA0190,217156,217881,PA0190,+,PA0190,"[217156, 217881]"
398,gene-PA0191,217905,218822,PA0191,-,PA0191,"[217905, 218822]"
400,gene-PA0192,219172,221544,PA0192,+,PA0192,"[219172, 221544]"
402,gene-PA0193,221585,222487,PA0193,+,PA0193,"[221585, 222487]"
404,gene-PA0194,222555,223454,PA0194,+,PA0194,"[222555, 223454]"
407,gene-PA0195,224101,225219,pntAA,+,PA0195,"[224101, 225219]"
409,gene-PA0195.1,225295,225603,pntAB,+,PA0195.1,"[225295, 225603]"
411,gene-PA0196,225603,227039,pntB,+,PA0196,"[225603, 227039]"
413,gene-PA0197,227382,228194,tonB2,+,PA0197,"[227382, 228194]"
415,gene-PA0198,228223,228942,exbB1,+,PA0198,"[228223, 228942]"
417,gene-PA0199,228944,229345,exbD1,+,PA0199,"[228944, 229345]"
419,gene-PA0200,229526,229738,PA0200,-,PA0200,"[229526, 229738]"
421,gene-PA0201,229954,230535,PA0201,+,PA0201,"[229954, 230535]"
423,gene-PA0202,230543,232000,PA0202,-,PA0202,"[230543, 232000]"
425,gene-PA0203,232066,233100,PA0203,-,PA0203,"[232066, 233100]"
427,gene-PA0204,233123,233932,PA0204,-,PA0204,"[233123, 233932]"
429,gene-PA0205,233929,234849,PA0205,-,PA0205,"[233929, 234849]"
431,gene-PA0206,234875,235987,PA0206,-,PA0206,"[234875, 235987]"
433,gene-PA0207,236218,237111,PA0207,+,PA0207,"[236218, 237111]"
435,gene-PA0208,237232,238896,mdcA,+,PA0208,"[237232, 238896]"
439,gene-PA0209,238896,239777,PA0209,+,PA0209,"[238896, 239777]"
441,gene-PA0210,239779,240078,mdcC,+,PA0210,"[239779, 240078]"
443,gene-PA0211,240071,240934,mdcD,+,PA0211,"[240071, 240934]"
445,gene-PA0212,240931,241737,mdcE,+,PA0212,"[240931, 241737]"
447,gene-PA0213,241753,242445,PA0213,+,PA0213,"[241753, 242445]"
449,gene-PA0214,242442,243374,PA0214,+,PA0214,"[242442, 243374]"
451,gene-PA0215,243431,243835,PA0215,+,PA0215,"[243431, 243835]"
453,gene-PA0216,243841,244605,PA0216,+,PA0216,"[243841, 244605]"
455,gene-PA0217,244690,245619,PA0217,-,PA0217,"[244690, 245619]"
457,gene-PA0218,245948,246868,PA0218,-,PA0218,"[245948, 246868]"
459,gene-PA0219,247219,248709,PA0219,+,PA0219,"[247219, 248709]"
461,gene-PA0220,248767,250200,PA0220,+,PA0220,"[248767, 250200]"
463,gene-PA0221,250231,251613,PA0221,+,PA0221,"[250231, 251613]"
465,gene-PA0222,251777,252835,PA0222,+,PA0222,"[251777, 252835]"
467,gene-PA0223,252913,253794,PA0223,-,PA0223,"[252913, 253794]"
469,gene-PA0224,253854,254636,PA0224,-,PA0224,"[253854, 254636]"
471,gene-PA0225,254791,255330,PA0225,+,PA0225,"[254791, 255330]"
473,gene-PA0226,255481,256332,PA0226,+,PA0226,"[255481, 256332]"
475,gene-PA0227,256329,257111,PA0227,+,PA0227,"[256329, 257111]"
477,gene-PA0228,257108,258313,pcaF,+,PA0228,"[257108, 258313]"
479,gene-PA0229,258463,259761,pcaT,+,PA0229,"[258463, 259761]"
481,gene-PA0230,259784,261163,pcaB,+,PA0230,"[259784, 261163]"
483,gene-PA0231,261179,261970,pcaD,+,PA0231,"[261179, 261970]"
485,gene-PA0232,261981,262382,pcaC,+,PA0232,"[261981, 262382]"
487,gene-PA0233,262557,263498,PA0233,+,PA0233,"[262557, 263498]"
489,gene-PA0234,263689,264522,PA0234,+,PA0234,"[263689, 264522]"
491,gene-PA0235,264964,266310,pcaK,-,PA0235,"[264964, 266310]"
493,gene-PA0236,266616,267395,PA0236,+,PA0236,"[266616, 267395]"
495,gene-PA0237,267638,268681,PA0237,+,PA0237,"[267638, 268681]"
497,gene-PA0238,268704,269519,PA0238,+,PA0238,"[268704, 269519]"
499,gene-PA0239,269669,270547,PA0239,+,PA0239,"[269669, 270547]"
501,gene-PA0240,270573,271838,PA0240,-,PA0240,"[270573, 271838]"
503,gene-PA0241,271904,273229,PA0241,-,PA0241,"[271904, 273229]"
505,gene-PA0242,273775,275679,PA0242,+,PA0242,"[273775, 275679]"
507,gene-PA0243,275772,276440,PA0243,+,PA0243,"[275772, 276440]"
509,gene-PA0244,276480,277334,PA0244,-,PA0244,"[276480, 277334]"
511,gene-PA0245,277331,277777,aroQ2,-,PA0245,"[277331, 277777]"
513,gene-PA0246,277894,279399,PA0246,-,PA0246,"[277894, 279399]"
515,gene-PA0247,279574,280758,pobA,-,PA0247,"[279574, 280758]"
518,gene-PA0248,280936,281802,PA0248,+,PA0248,"[280936, 281802]"
520,gene-PA0249,281799,282245,PA0249,-,PA0249,"[281799, 282245]"
522,gene-PA0250,282323,282757,PA0250,-,PA0250,"[282323, 282757]"
524,gene-PA0251,282912,283553,PA0251,-,PA0251,"[282912, 283553]"
526,gene-PA0252,283818,284105,PA0252,-,PA0252,"[283818, 284105]"
529,gene-PA0253,284197,284673,PA0253,-,PA0253,"[284197, 284673]"
531,gene-PA0254,284714,286204,PA0254,-,PA0254,"[284714, 286204]"
533,gene-PA0255,286338,287024,PA0255,-,PA0255,"[286338, 287024]"
535,gene-PA0256,287188,288120,PA0256,-,PA0256,"[287188, 288120]"
537,gene-PA0257,288384,289175,PA0257,-,PA0257,"[288384, 289175]"
539,gene-PA0258,289205,289390,PA0258,-,PA0258,"[289205, 289390]"
541,gene-PA0259,289562,291004,PA0259,-,PA0259,"[289562, 291004]"
543,gene-PA0260,291154,293304,PA0260,-,PA0260,"[291154, 293304]"
545,gene-PA0261,293301,293798,PA0261,-,PA0261,"[293301, 293798]"
547,gene-PA0262,293802,296861,PA0262,-,PA0262,"[293802, 296861]"
549,gene-PA0263,297043,297561,hcpC,-,PA0263,"[297043, 297561]"
551,gene-PA0263.1,298816,298892,PA0263.1,-,PA0263.1,"[298816, 298892]"
555,gene-PA0265,299522,300973,gabD,+,PA0265,"[299522, 300973]"
557,gene-PA0266,301218,302498,PA0266,+,PA0266,"[301218, 302498]"
559,gene-PA0267,302824,304023,PA0267,+,PA0267,"[302824, 304023]"
561,gene-PA0268,304177,305598,PA0268,-,PA0268,"[304177, 305598]"
563,gene-PA0269,305725,306162,PA0269,+,PA0269,"[305725, 306162]"
565,gene-PA0270,306174,306581,PA0270,+,PA0270,"[306174, 306581]"
567,gene-PA0271,306615,306899,PA0271,+,PA0271,"[306615, 306899]"
569,gene-PA0272,306896,307828,PA0272,-,PA0272,"[306896, 307828]"
571,gene-PA0273,307878,309092,PA0273,-,PA0273,"[307878, 309092]"
573,gene-PA0274,309255,310025,PA0274,-,PA0274,"[309255, 310025]"
575,gene-PA0275,310134,310820,PA0275,-,PA0275,"[310134, 310820]"
577,gene-PA0276,310896,311411,PA0276,+,PA0276,"[310896, 311411]"
579,gene-PA0277,311451,312209,PA0277,-,PA0277,"[311451, 312209]"
581,gene-PA0278,312381,313133,PA0278,-,PA0278,"[312381, 313133]"
583,gene-PA0279,313227,313925,PA0279,+,PA0279,"[313227, 313925]"
585,gene-PA0280,313938,314927,cysA,-,PA0280,"[313938, 314927]"
587,gene-PA0281,314931,315800,cysW,-,PA0281,"[314931, 315800]"
589,gene-PA0282,315811,316629,cysT,-,PA0282,"[315811, 316629]"
591,gene-PA0283,316791,317789,sbp,-,PA0283,"[316791, 317789]"
593,gene-PA0284,317966,318148,PA0284,-,PA0284,"[317966, 318148]"
595,gene-PA0285,318312,320594,PA0285,-,PA0285,"[318312, 320594]"
597,gene-PA0286,320766,321944,desA,+,PA0286,"[320766, 321944]"
599,gene-PA0287,322175,323560,gpuP,+,PA0287,"[322175, 323560]"
601,gene-PA0288,323616,324572,gpuA,+,PA0288,"[323616, 324572]"
603,gene-PA0289,324625,325587,gpuR,+,PA0289,"[324625, 325587]"
605,gene-PA0290,325700,326671,PA0290,+,PA0290,"[325700, 326671]"
607,gene-PA0291,327284,328666,oprE,+,PA0291,"[327284, 328666]"
609,gene-PA0292,328801,329907,aguA,-,PA0292,"[328801, 329907]"
611,gene-PA0293,329993,330871,aguB,-,PA0293,"[329993, 330871]"
613,gene-PA0294,331034,331699,aguR,-,PA0294,"[331034, 331699]"
615,gene-PA0295,331762,332823,PA0295,-,PA0295,"[331762, 332823]"
617,gene-PA0296,333079,334455,spuI,-,PA0296,"[333079, 334455]"
619,gene-PA0297,334734,335486,spuA,+,PA0297,"[334734, 335486]"
621,gene-PA0298,335527,336885,spuB,+,PA0298,"[335527, 336885]"
624,gene-PA0299,336951,338321,spuC,+,PA0299,"[336951, 338321]"
626,gene-PA0300,338437,339540,spuD,+,PA0300,"[338437, 339540]"
628,gene-PA0301,339959,341056,spuE,+,PA0301,"[339959, 341056]"
630,gene-PA0302,341111,342265,spuF,+,PA0302,"[341111, 342265]"
632,gene-PA0303,342292,343173,spuG,+,PA0303,"[342292, 343173]"
635,gene-PA0304,343256,344125,spuH,+,PA0304,"[343256, 344125]"
637,gene-PA0305,344303,346690,PA0305,-,PA0305,"[344303, 346690]"
639,gene-PA0306,346801,347853,PA0306,+,PA0306,"[346801, 347853]"
641,gene-PA0306a,347832,348335,PA0306a,-,PA0306a,"[347832, 348335]"
643,gene-PA0307,348440,349051,PA0307,-,PA0307,"[348440, 349051]"
645,gene-PA0308,349050,350069,PA0308,+,PA0308,"[349050, 350069]"
647,gene-PA0309,350089,350841,PA0309,-,PA0309,"[350089, 350841]"
649,gene-PA0310,350890,351588,PA0310,+,PA0310,"[350890, 351588]"
651,gene-PA0311,351610,352164,PA0311,-,PA0311,"[351610, 352164]"
653,gene-PA0312,352430,352924,PA0312,+,PA0312,"[352430, 352924]"
655,gene-PA0313,352927,353619,PA0313,-,PA0313,"[352927, 353619]"
657,gene-PA0314,353691,354461,PA0314,-,PA0314,"[353691, 354461]"
659,gene-PA0315,354754,355191,PA0315,+,PA0315,"[354754, 355191]"
661,gene-PA0316,355248,356477,serA,-,PA0316,"[355248, 356477]"
663,gene-PA0317,356681,358075,PA0317,+,PA0317,"[356681, 358075]"
665,gene-PA0318,358167,358832,PA0318,+,PA0318,"[358167, 358832]"
667,gene-PA0319,358931,359920,PA0319,+,PA0319,"[358931, 359920]"
669,gene-PA0320,359982,360332,PA0320,+,PA0320,"[359982, 360332]"
671,gene-PA0321,360413,361447,PA0321,-,PA0321,"[360413, 361447]"
673,gene-PA0322,361463,362857,PA0322,-,PA0322,"[361463, 362857]"
675,gene-PA0323,363278,364321,PA0323,-,PA0323,"[363278, 364321]"
677,gene-PA0324,364369,365157,PA0324,-,PA0324,"[364369, 365157]"
679,gene-PA0325,365154,366083,PA0325,-,PA0325,"[365154, 366083]"
681,gene-PA0326,366080,367129,PA0326,-,PA0326,"[366080, 367129]"
683,gene-PA0327,367457,368422,PA0327,+,PA0327,"[367457, 368422]"
685,gene-PA0328,368462,370405,PA0328,-,PA0328,"[368462, 370405]"
687,gene-PA0329,370706,371038,PA0329,-,PA0329,"[370706, 371038]"
689,gene-PA0330,371162,371833,rpiA,-,PA0330,"[371162, 371833]"
692,gene-PA0331,372091,373605,ilvA1,+,PA0331,"[372091, 373605]"
694,gene-PA0332,373725,374192,PA0332,+,PA0332,"[373725, 374192]"
696,gene-PA0333,374243,375514,PA0333,+,PA0333,"[374243, 375514]"
698,gene-PA0334,375951,377189,PA0334,-,PA0334,"[375951, 377189]"
700,gene-PA0335,377239,377892,PA0335,-,PA0335,"[377239, 377892]"
702,gene-PA0336,378096,378575,ygdP,+,PA0336,"[378096, 378575]"
704,gene-PA0337,378598,380877,ptsP,+,PA0337,"[378598, 380877]"
706,gene-PA0338,380903,382033,PA0338,+,PA0338,"[380903, 382033]"
710,gene-PA0339,382037,382792,PA0339,-,PA0339,"[382037, 382792]"
713,gene-PA0340,382914,383717,PA0340,+,PA0340,"[382914, 383717]"
715,gene-PA0341,383727,384527,lgt,+,PA0341,"[383727, 384527]"
717,gene-PA0342,384733,385527,thyA,+,PA0342,"[384733, 385527]"
719,gene-PA0343,385554,386351,PA0343,-,PA0343,"[385554, 386351]"
721,gene-PA0344,386386,387765,PA0344,-,PA0344,"[386386, 387765]"
723,gene-PA0345,387758,389143,PA0345,-,PA0345,"[387758, 389143]"
725,gene-PA0346,389334,389696,PA0346,+,PA0346,"[389334, 389696]"
727,gene-PA0347,389733,390884,glpQ,-,PA0347,"[389733, 390884]"
729,gene-PA0348,391094,392188,PA0348,+,PA0348,"[391094, 392188]"
731,gene-PA0349,392185,393225,PA0349,+,PA0349,"[392185, 393225]"
733,gene-PA0350,393308,393814,folA,+,PA0350,"[393308, 393814]"
735,gene-PA0351,393830,394303,PA0351,-,PA0351,"[393830, 394303]"
737,gene-PA0352,394442,395827,PA0352,-,PA0352,"[394442, 395827]"
739,gene-PA0353,396057,397895,ilvD,-,PA0353,"[396057, 397895]"
741,gene-PA0354,398224,399420,PA0354,-,PA0354,"[398224, 399420]"
743,gene-PA0355,399493,400032,pfpI,-,PA0355,"[399493, 400032]"
745,gene-PA0356,400248,401072,PA0356,+,PA0356,"[400248, 401072]"
